****** S rad/uCi-h Liver RadioTracer 18-FDG ORNLAdultMale
Liver 6.2e-4
Kidneys 3.9e-6
Thyroid 3.1e-6
* ----------------------------------------------------------------------------------------------------
****** S rad/uCi-h Kidneys RadioTracer 18-FDG ORNLAdultMale
Liver 5.9e-5
Kidneys 2.4e-3
Thyroid 1.7e-6
* ----------------------------------------------------------------------------------------------------
****** S rad/uCi-h Thyroid RadioTracer 18-FDG ORNLAdultMale
Liver 3.0e-6
Kidneys 1.7e-6
Thyroid 2.8e-2
* ----------------------------------------------------------------------------------------------------
****** SAF g-1 Adrenals gamma ORNLAdultMale MeV 10e-03 15e-03 20e-03 30e-03 50e-03 100e-03 200e-03 500e-03 1000e-03 1500e-03 2000e-03 4000e-03
Adrenals	5.00E-02	3.20E-02	1.80E-02	6.80E-03	2.30E-03	1.30E-03	1.50E-03	1.60E-03	1.50E-03	1.40E-03	1.30E-03	1.00E-03
Brain	0.00E+00	0.00E+00	0.00E+00	1.00E-11	3.40E-09	1.60E-08	2.80E-08	7.00E-08	1.20E-07	1.60E-07	1.90E-07	2.70E-07
Breasts	0.00E+00	0.00E+00	1.20E-10	3.70E-07	2.00E-06	2.60E-06	2.40E-06	2.90E-06	3.00E-06	3.00E-06	2.90E-06	2.30E-06
Gallbladder_Wall	0.00E+00	4.40E-09	7.40E-07	1.20E-05	1.80E-05	1.90E-05	1.60E-05	1.40E-05	1.30E-05	1.20E-05	1.20E-05	9.80E-06
LLI_Wall	0.00E+00	0.00E+00	3.10E-11	3.60E-08	4.00E-07	8.40E-07	1.20E-06	1.30E-06	1.30E-06	1.30E-06	1.20E-06	1.10E-06
Small_Intestine	0.00E+00	0.00E+00	2.00E-09	4.10E-07	2.30E-06	3.80E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.50E-06	2.90E-06
Stomach	0.00E+00	1.20E-09	4.00E-07	6.50E-06	1.60E-05	1.50E-05	1.30E-05	1.10E-05	1.10E-05	1.00E-05	1.00E-05	8.20E-06
ULI_Wall	0.00E+00	0.00E+00	2.50E-09	6.80E-07	3.10E-06	5.10E-06	4.10E-06	4.30E-06	4.40E-06	4.10E-06	3.90E-06	3.30E-06
Heart_Wall	0.00E+00	1.20E-09	3.30E-07	7.30E-06	1.70E-05	1.50E-05	1.30E-05	1.30E-05	1.10E-05	1.00E-05	9.60E-06	7.80E-06
Kidneys	7.60E-07	1.20E-05	3.70E-05	6.40E-05	5.20E-05	3.70E-05	3.40E-05	3.30E-05	3.10E-05	2.80E-05	2.60E-05	2.20E-05
